Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,48.500000,48.910000,48.000000,48.549999,48.549999,3567500
2020-02-13,48.400002,48.950001,48.209999,48.619999,48.619999,1718600
2020-02-14,47.049999,47.799999,46.480000,46.570000,46.570000,4138000
2020-02-18,45.950001,46.340000,45.320000,45.410000,45.410000,5809400
2020-02-19,46.110001,46.400002,45.880001,46.150002,46.150002,2114600
2020-02-20,46.680000,46.900002,45.970001,46.669998,46.669998,3937500
2020-02-21,46.169998,46.290001,44.000000,44.540001,44.540001,4228900
2020-02-24,42.849998,43.450001,41.860001,42.020000,42.020000,3779200
2020-02-25,42.700001,42.730000,39.830002,40.060001,40.060001,16156500
2020-02-26,40.439999,41.790001,40.250000,41.500000,41.500000,7419700
2020-02-27,40.070000,41.330002,40.049999,40.130001,40.130001,3939100
2020-02-28,38.750000,40.709999,38.700001,40.610001,40.610001,4994800
2020-03-02,40.849998,41.279999,40.049999,40.910000,40.910000,3635000
2020-03-03,41.500000,41.799999,39.220001,39.849998,39.849998,3850700
2020-03-04,40.709999,41.500000,40.029999,41.430000,41.430000,2556300
2020-03-05,40.130001,40.919998,40.020000,40.480000,40.480000,2742700
2020-03-06,38.660000,39.680000,38.580002,39.509998,39.509998,3169200
2020-03-09,35.650002,35.650002,33.250000,34.240002,34.240002,8473100
2020-03-10,37.680000,38.040001,35.689999,36.919998,36.919998,4958800
2020-03-11,35.610001,36.500000,35.160000,35.869999,35.869999,5615700
2020-03-12,32.330002,34.000000,32.029999,32.119999,32.119999,4443900
2020-03-13,34.910000,35.290001,33.049999,33.939999,33.939999,5295000
2020-03-16,30.670000,32.520000,29.940001,30.799999,30.799999,3788900
2020-03-17,31.160000,33.330002,30.059999,31.660000,31.660000,3603800
2020-03-18,28.320000,30.299999,27.930000,28.910000,28.910000,4047300
2020-03-19,29.000000,31.340000,28.160000,30.620001,30.620001,3208600
2020-03-20,31.389999,31.580000,29.660000,29.910000,29.910000,4092300
2020-03-23,30.629999,30.690001,28.370001,29.139999,29.139999,3477300
2020-03-24,30.950001,32.150002,30.639999,31.889999,31.889999,2996300
2020-03-25,31.870001,34.450001,31.639999,33.419998,33.419998,2572200
2020-03-26,33.070000,34.880001,32.950001,34.820000,34.820000,2670700
2020-03-27,32.889999,33.779999,32.389999,32.980000,32.980000,2413100
2020-03-30,33.310001,33.930000,32.779999,33.880001,33.880001,2973200
2020-03-31,34.000000,35.220001,33.759998,34.049999,34.049999,3245700
2020-04-01,33.000000,33.480000,32.060001,32.430000,32.430000,3850300
2020-04-02,32.500000,33.200001,31.850000,32.610001,32.610001,3757700
2020-04-03,33.360001,33.529999,32.080002,32.380001,32.380001,2210800
2020-04-06,33.619999,34.259998,33.470001,33.869999,33.869999,3555600
2020-04-07,35.110001,35.779999,34.459999,34.500000,34.500000,3317800
2020-04-08,35.209999,36.200001,34.930000,35.930000,35.930000,3118700
2020-04-09,36.700001,36.860001,35.669998,36.139999,36.139999,2641700
2020-04-13,35.990002,36.790001,35.810001,36.700001,36.700001,2804800
2020-04-14,37.180000,38.240002,36.820000,36.849998,36.849998,2674500
2020-04-15,35.340000,35.389999,34.400002,34.889999,34.889999,3659300
2020-04-16,35.660000,35.709999,34.639999,34.970001,34.970001,3458200
2020-04-17,35.740002,36.740002,35.259998,36.619999,36.619999,3403200
2020-04-20,35.709999,37.090000,35.259998,35.410000,35.410000,3854800
2020-04-21,34.099998,34.840000,33.790001,34.020000,34.020000,4170300
2020-04-22,35.119999,35.139999,34.509998,34.950001,34.950001,1896100
2020-04-23,35.430000,35.740002,34.959999,35.250000,35.250000,1095200
2020-04-24,35.509998,36.040001,35.009998,36.000000,36.000000,1683200
2020-04-27,35.669998,36.990002,35.669998,36.959999,36.959999,2606200
2020-04-28,38.230000,38.500000,36.590000,37.590000,37.590000,3504800
2020-04-29,38.290001,39.799999,38.189999,39.610001,39.610001,3464900
2020-04-30,38.709999,39.220001,37.360001,37.779999,37.779999,3199100
2020-05-01,37.209999,37.680000,36.639999,37.410000,37.410000,1484000
2020-05-04,37.450001,38.040001,37.119999,38.000000,38.000000,1671600
2020-05-05,38.450001,38.889999,38.230000,38.380001,38.380001,1765700
2020-05-06,38.270000,38.830002,37.939999,38.509998,38.509998,1229800
2020-05-07,39.070000,40.619999,38.810001,40.299999,40.299999,3219400
2020-05-08,40.500000,40.810001,40.299999,40.740002,40.740002,1520700
2020-05-11,40.500000,40.500000,39.770000,40.180000,40.180000,1467600
2020-05-12,40.509998,40.900002,39.730000,40.000000,40.000000,1698700
2020-05-13,40.029999,40.189999,38.209999,38.709999,38.709999,2428300
2020-05-14,38.169998,38.869999,37.470001,38.830002,38.830002,1542100
2020-05-15,38.439999,39.480000,37.930000,38.990002,38.990002,1518500
2020-05-18,40.110001,41.000000,39.990002,40.919998,40.919998,2187300
2020-05-19,40.700001,41.259998,40.459999,40.689999,40.689999,1247300
2020-05-20,41.639999,41.770000,41.049999,41.310001,41.310001,2595800
2020-05-21,41.730000,41.730000,40.580002,40.630001,40.630001,1864800
2020-05-22,40.770000,40.779999,40.160000,40.259998,40.259998,1355100
2020-05-26,41.770000,41.770000,40.380001,40.430000,40.430000,2674800
2020-05-27,40.810001,40.830002,39.459999,40.669998,40.669998,2575300
2020-05-28,40.860001,41.419998,40.400002,40.639999,40.639999,2339500
2020-05-29,40.439999,40.470001,39.759998,40.230000,40.230000,3214700
2020-06-01,40.630001,41.099998,40.389999,41.000000,41.000000,2113500
2020-06-02,41.419998,41.549999,40.740002,41.040001,41.040001,2555400
2020-06-03,41.380001,42.000000,41.200001,41.470001,41.470001,1700100
2020-06-04,41.009998,41.560001,40.980000,41.320000,41.320000,2091300
2020-06-05,41.950001,42.590000,41.889999,42.320000,42.320000,1333000
2020-06-08,42.389999,42.590000,41.889999,42.450001,42.450001,1499100
2020-06-09,41.840000,42.380001,41.770000,41.990002,41.990002,1189600
2020-06-10,42.380001,42.459999,41.599998,42.169998,42.169998,1011500
2020-06-11,40.750000,41.509998,40.230000,40.290001,40.290001,1820300
2020-06-12,41.459999,42.240002,41.009998,42.180000,42.180000,2688300
2020-06-15,41.200001,43.259998,41.189999,42.880001,42.880001,2929200
2020-06-16,43.189999,44.189999,42.810001,43.540001,43.540001,2857800
2020-06-17,43.740002,44.110001,43.630001,43.959999,43.959999,1933900
2020-06-18,43.849998,44.869999,43.770000,44.560001,44.560001,2119400
2020-06-19,45.560001,45.669998,45.000000,45.619999,45.619999,3197500
2020-06-22,46.009998,47.270000,45.939999,46.939999,46.939999,2573400
2020-06-23,47.709999,49.910000,47.139999,49.000000,49.000000,5230500
2020-06-24,49.919998,50.459999,48.799999,50.299999,50.299999,4607600
2020-06-25,50.139999,50.750000,49.439999,50.549999,50.549999,7333700
2020-06-26,50.270000,50.320000,48.959999,49.029999,49.029999,2639600
2020-06-29,48.970001,49.630001,48.590000,49.240002,49.240002,2388200
